ID,fips_code,year,deck_cond,superstructure_cond,channel_cond,culvert_cond
000840,01,1930,6,6,8,N
000841,01,1930,6,6,6,N
000843,01,1930,5,5,6,N
000846,01,1930,N,N,7,7
000847,01,1930,6,7,5,N
000848,01,1930,7,7,8,N
000849,01,1930,4,3,6,N
000850,01,1930,7,6,5,N
000853,01,1930,6,6,6,N
000855,01,1930,N,N,7,7
000856,01,1930,N,N,7,6
000857,01,1930,5,5,7,N
000860,01,1930,7,4,6,N
000862,01,1930,7,7,6,N
000864,01,1930,4,5,8,N
000865,01,1930,5,4,6,N
000867,01,1930,3,5,6,N
000870,01,1930,6,5,5,N
000871,01,1930,5,5,5,N
000876,01,1931,4,3,7,N
000879,01,1931,N,N,5,7
000880,01,1931,6,7,7,N
000881,01,1931,5,6,6,N
000882,01,1931,6,6,6,N
000883,01,1931,5,5,6,N
000884,01,1931,6,6,5,N
000885,01,1931,5,4,6,N
000893,01,1931,N,N,8,6
000895,01,1931,N,N,6,6
000897,01,1931,4,5,7,N
000898,01,1931,N,N,7,7
000900,01,1931,N,N,5,5
000901,01,1931,N,N,6,6
000902,01,1931,6,6,6,N
000903,01,1931,6,6,5,N
000904,01,1931,N,N,5,5
000906,01,1931,N,N,7,7
000910,01,1931,N,N,6,6
000911,01,1931,6,6,N,N
000912,01,1931,5,4,6,N
000913,01,1931,N,N,6,7
000914,01,1931,6,6,6,N
000915,01,1931,5,5,4,N
000918,01,1931,N,N,6,6
000921,01,1931,N,N,6,7
000922,01,1931,N,N,6,6
000923,01,1931,6,5,5,N
000928,01,1931,6,5,7,N
000932,01,1931,N,N,5,5
000933,01,1931,7,6,6,N
000934,01,1931,5,5,N,N
000935,01,1931,5,5,7,N
000936,01,1931,N,N,7,7
000937,01,1931,N,N,5,7
000938,01,1931,N,N,7,7
000939,01,1931,N,N,5,6
000940,01,1931,N,N,6,7
000941,01,1931,5,7,5,N
000942,01,1931,6,6,N,N
000943,01,1932,5,5,5,N
000944,01,1932,5,6,5,N
000946,01,1932,5,6,6,N
000947,01,1932,6,5,7,N
000949,01,1932,6,4,4,N
000952,01,1932,6,6,7,N
000954,01,1932,6,3,6,N
000955,01,1932,7,4,5,N
000956,01,1932,6,4,6,N
000957,01,1932,6,5,7,N
000958,01,1938,6,6,N,N
000959,01,1932,6,6,6,N
000961,01,1932,N,N,6,6
000963,01,1932,7,7,7,N
000964,01,1932,N,N,7,7
000965,01,1932,6,6,5,N
000966,01,1932,N,N,6,7
000967,01,1932,N,N,6,6
000968,01,1932,5,5,4,N
000969,01,1932,N,N,6,5
000971,01,1932,N,N,7,6
000972,01,1932,N,N,6,7
000973,01,1932,N,N,6,7
000974,01,1932,N,N,7,7
000975,01,1932,N,N,6,7
000976,01,1932,6,5,5,N
000978,01,1932,6,6,5,N
000979,01,1932,6,6,5,N
000985,01,1993,9,9,7,N
000986,01,1932,7,7,6,N
000988,01,1932,6,7,6,N
000989,01,1993,N,N,7,8
000990,01,1932,N,N,6,5
000991,01,1932,N,N,6,6
000992,01,1932,N,N,7,7
000993,01,1932,5,5,7,N
000995,01,1932,N,N,6,6
000998,01,1932,6,6,6,N
001000,01,1932,N,N,6,7
001001,01,1932,3,5,6,N
001002,01,1932,N,N,6,6
001003,01,1932,N,N,6,7
001006,01,1932,5,5,5,N
001007,01,1932,N,N,6,5
001008,01,1932,6,5,6,N
001012,01,1932,4,3,6,N
001013,01,1932,N,N,4,5
001014,01,1980,7,7,7,N
001016,01,1932,6,6,7,N
001017,01,1932,6,7,7,N
001018,01,1926,5,4,7,N
001019,01,1933,N,N,6,5
001024,01,1977,N,N,5,6
001027,01,1933,7,7,6,N
001030,01,1933,5,5,5,N
001032,01,1933,N,N,5,6
001040,01,1933,5,6,7,N
001045,01,1933,5,5,5,N
001046,01,1933,6,7,6,N
001050,01,1933,5,6,6,N
001052,01,1933,N,N,6,6
001055,01,1933,N,N,6,7
001056,01,1933,N,N,6,7
001057,01,1933,6,6,6,N
001058,01,1933,5,5,7,N
001061,01,1934,5,5,6,N
001063,01,1934,6,4,7,N
001065,01,1934,6,6,7,N
001067,01,1934,N,N,6,6
001068,01,1934,N,N,5,6
001071,01,1934,6,5,5,N
001072,01,1934,5,5,4,N
001087,01,1934,N,N,6,6
001088,01,1934,6,6,6,N
001091,01,1934,N,N,7,6
001092,01,1934,4,5,7,N
001093,01,1934,7,7,7,N
001099,01,1934,N,N,6,6
001100,01,1934,N,N,7,7
001102,01,1934,N,N,5,5
001103,01,1934,5,6,7,N
001104,01,1934,6,6,7,N
001105,01,1934,N,N,7,5
001106,01,1934,N,N,7,7
001107,01,1934,N,N,7,7
001108,01,1934,N,N,7,7
001109,01,1934,N,N,6,7
001110,01,1934,N,N,7,7
001111,01,1934,N,N,8,7
001112,01,1934,N,N,7,7
001113,01,1934,N,N,6,7
001114,01,1934,N,N,5,7
001117,01,1934,6,7,7,N
001119,01,1991,N,N,6,8
001120,01,1934,N,N,5,6
001122,01,1934,6,6,6,N
001123,01,1934,7,7,6,N
001124,01,1934,N,N,6,6
001127,01,1934,6,6,7,N
001128,01,1934,6,5,6,N
001129,01,1934,N,N,7,7
001130,01,1934,N,N,6,6
001134,01,1934,5,5,6,N
001137,01,1934,5,6,7,N
001139,01,1934,7,7,6,N
001142,01,1934,6,6,5,N
001143,01,1934,5,5,6,N
001145,01,1934,6,6,5,N
001146,01,1934,6,7,6,N
001147,01,1934,5,5,5,N
001154,01,1924,6,7,6,N
001155,01,1935,6,5,6,N
001157,01,1935,6,4,6,N
001158,01,1935,6,5,5,N
001159,01,1935,4,5,4,N
001162,01,1935,N,N,6,5
001164,01,1935,4,4,4,N
001165,01,1935,7,3,6,N
001166,01,1935,4,4,7,N
001172,01,1935,7,6,5,N
001173,01,1935,5,5,5,N
001174,01,1935,N,N,6,6
001175,01,1935,5,5,N,N
001176,01,1935,N,N,5,5
001181,01,1935,6,5,6,N
001182,01,1935,N,N,5,5
001183,01,1935,6,6,5,N
001186,01,1935,N,N,5,4
001187,01,1935,N,N,8,7
001188,01,1935,6,6,7,N
001189,01,1935,5,6,7,N
001190,01,1935,7,7,7,N
001191,01,1935,7,6,7,N
001192,01,1935,6,6,6,N
001194,01,1935,5,6,7,N
001198,01,1935,8,8,7,N
001199,01,1935,5,6,6,N
001201,01,1935,6,5,5,N
001202,01,1935,4,4,6,N
001204,01,1935,3,5,6,N
001207,01,1935,5,5,7,N
001208,01,1935,6,6,5,N
001209,01,1935,5,5,N,N
001211,01,1935,N,N,6,5
001212,01,1935,6,6,6,N
001213,01,1935,5,6,5,N
001214,01,1935,6,6,6,N
001217,01,1935,6,7,6,N
001219,01,1935,5,5,6,N
001220,01,1935,5,6,5,N
001221,01,1935,N,N,6,6
001222,01,1935,7,7,7,N
001223,01,1935,N,N,6,6
001224,01,1935,6,6,6,N
001225,01,1935,6,6,6,N
001226,01,1935,N,N,6,6
001229,01,1935,4,5,5,N
001232,01,1935,N,N,7,7
001234,01,1935,N,N,7,7
001236,01,1935,N,N,8,7
001241,01,1935,N,N,7,8
001242,01,1935,6,6,6,N
001243,01,1935,5,5,7,N
001244,01,1935,5,6,5,N
001245,01,1935,6,6,6,N
001247,01,1935,6,7,6,N
001248,01,1935,5,6,N,N
001250,01,1935,6,6,6,N
001255,01,1935,N,N,6,7
001258,01,1935,6,6,7,N
001259,01,1935,7,7,6,N
001260,01,1935,7,7,7,N
001261,01,1993,N,N,6,7
001262,01,1935,4,4,4,N
001263,01,1935,4,7,6,N
001265,01,1935,6,6,5,N
001267,01,1935,7,7,7,N
001268,01,1949,5,5,5,N
001270,01,1935,7,5,5,N
